word,shows,show_count
cheer,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
cheese,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
chest,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
chicken,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
child,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
chip,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
choice,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
choose,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
chop,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
circle,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
circumstance,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
citizen,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
city,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
civil,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
claim,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
class,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
clean,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
cleanse,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
clear,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
clearly,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
climate,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
climb,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
close,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
closed,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
closely,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
closer,BB|BBT|BoJack|Dexter|GOT|HIMYM|Office|SP,8
